year,STABBR,average_admission_rates
2004-2005,Alaska,0.82725
2004-2005,Alabama,0.7225558823529412
2004-2005,Arkansas,0.7086695652173913
2004-2005,Arizona,0.7582032258064516
2004-2005,California,0.7127617777777778
2004-2005,Colorado,0.7717846153846154
2004-2005,Connecticut,0.577385
2004-2005,Delaware,0.6337375
2004-2005,Florida,0.7267421052631579
2004-2005,Georgia,0.6561530120481928
2004-2005,Hawaii,0.6634166666666667
2004-2005,Iowa,0.7438152173913043
2004-2005,Idaho,0.86257
2004-2005,Illinois,0.7067490909090909
2004-2005,Indiana,0.7353671428571429
2004-2005,Kansas,0.7461333333333333
2004-2005,Kentucky,0.687875
2004-2005,Louisiana,0.7936911764705883
2004-2005,Massachusetts,0.6191648936170213
2004-2005,Maryland,0.6440757575757575
2004-2005,Maine,0.6665304347826086
2004-2005,Michigan,0.6557506493506493
2004-2005,Minnesota,0.782575
2004-2005,Missouri,0.6735666666666666
2004-2005,Mississippi,0.6562631578947369
2004-2005,Montana,0.7801400000000001
2004-2005,North Carolina,0.7026385714285714
2004-2005,North Dakota,0.8593555555555555
2004-2005,Nebraska,0.740816
2004-2005,New Hampshire,0.7023652173913043
2004-2005,New Jersey,0.7019728813559322
2004-2005,New Mexico,0.6861333333333333
2004-2005,Nevada,0.8400428571428571
2004-2005,New York,0.6855393939393939
2004-2005,Ohio,0.6970486725663717
2004-2005,Oklahoma,0.764190625
2004-2005,Oregon,0.7925166666666666
2004-2005,Pennsylvania,0.6740297777777777
2004-2005,Rhode Island,0.7097692307692308
2004-2005,South Carolina,0.7348863636363636
2004-2005,South Dakota,0.690464705882353
2004-2005,Tennessee,0.7318779411764705
2004-2005,Texas,0.7321310606060606
2004-2005,Utah,0.81672
2004-2005,Virginia,0.6569132352941176
2004-2005,Vermont,0.6741142857142858
2004-2005,Washington,0.7554708333333333
2004-2005,Wisconsin,0.7514235294117647
2004-2005,West Virginia,0.7676645161290323
2004-2005,Wyoming,0.9742
2005-2006,Alaska,0.812775
2005-2006,Alabama,0.7105272727272728
2005-2006,Arkansas,0.7504038461538461
2005-2006,Arizona,0.78312
2005-2006,California,0.69204243697479
2005-2006,Colorado,0.77622
2005-2006,Connecticut,0.6478682926829268
2005-2006,Delaware,0.6557285714285714
2005-2006,Florida,0.6968319327731093
2005-2006,Georgia,0.6360626506024096
2005-2006,Hawaii,0.6815857142857142
2005-2006,Iowa,0.7616911111111111
2005-2006,Idaho,0.8198333333333333
2005-2006,Illinois,0.7259419642857143
2005-2006,Indiana,0.7688930555555555
2005-2006,Kansas,0.713148275862069
2005-2006,Kentucky,0.7323205882352941
2005-2006,Louisiana,0.711948275862069
2005-2006,Massachusetts,0.6308397959183674
2005-2006,Maryland,0.6055571428571429
2005-2006,Maine,0.6147608695652174
2005-2006,Michigan,0.6774576923076923
2005-2006,Minnesota,0.7809561403508772
2005-2006,Missouri,0.7107903614457831
2005-2006,Mississippi,0.6843333333333333
2005-2006,Montana,0.738688888888889
2005-2006,North Carolina,0.7009420289855073
2005-2006,North Dakota,0.8201375
2005-2006,Nebraska,0.772284
2005-2006,New Hampshire,0.7079708333333333
2005-2006,New Jersey,0.7047363636363636
2005-2006,New Mexico,0.7150727272727273
2005-2006,Nevada,0.7959222222222222
2005-2006,New York,0.666349063670412
2005-2006,Ohio,0.6968657657657658
2005-2006,Oklahoma,0.7822444444444444
2005-2006,Oregon,0.7645526315789474
2005-2006,Pennsylvania,0.6889121212121212
2005-2006,Rhode Island,0.6621769230769231
2005-2006,South Carolina,0.7542933333333334
2005-2006,South Dakota,0.7175529411764706
2005-2006,Tennessee,0.7224579710144927
2005-2006,Texas,0.7165064516129033
2005-2006,Utah,0.88218
2005-2006,Virginia,0.6641984375
2005-2006,Vermont,0.6675736842105263
2005-2006,Washington,0.757925
2005-2006,Wisconsin,0.7701448979591837
2005-2006,West Virginia,0.7307142857142858
2005-2006,Wyoming,0.97725
2006-2007,Alaska,0.804
2006-2007,Alabama,0.7497911764705882
2006-2007,Arkansas,0.7409555555555556
2006-2007,Arizona,0.7526166666666667
2006-2007,California,0.7028361788617886
2006-2007,Colorado,0.7370146341463415
2006-2007,Connecticut,0.6321684210526316
2006-2007,Delaware,0.6836375
2006-2007,Florida,0.7072353448275862
2006-2007,Georgia,0.63712125
2006-2007,Hawaii,0.7611111111111111
2006-2007,Iowa,0.7338422222222222
2006-2007,Idaho,0.81564
2006-2007,Illinois,0.7198849557522123
2006-2007,Indiana,0.7487986301369863
2006-2007,Kansas,0.7357366666666667
2006-2007,Kentucky,0.6657727272727273
2006-2007,Louisiana,0.7035322580645161
2006-2007,Massachusetts,0.6128081632653061
2006-2007,Maryland,0.6486305555555556
2006-2007,Maine,0.6728217391304347
2006-2007,Michigan,0.6488064935064936
2006-2007,Minnesota,0.7806224137931035
2006-2007,Missouri,0.6736377777777778
2006-2007,Mississippi,0.6705631578947369
2006-2007,Montana,0.7435
2006-2007,North Carolina,0.6767042253521127
2006-2007,North Dakota,0.8665666666666667
2006-2007,Nebraska,0.7540125
2006-2007,New Hampshire,0.7743458333333333
2006-2007,New Jersey,0.7293971830985916
2006-2007,New Mexico,0.6937545454545455
2006-2007,Nevada,0.6886
2006-2007,New York,0.6577520146520146
2006-2007,Ohio,0.7031336206896551
2006-2007,Oklahoma,0.7617380952380952
2006-2007,Oregon,0.7497888888888888
2006-2007,Pennsylvania,0.6895426724137931
2006-2007,Rhode Island,0.6163363636363637
2006-2007,South Carolina,0.7204622222222222
2006-2007,South Dakota,0.7712625
2006-2007,Tennessee,0.7157821917808219
2006-2007,Texas,0.7270753846153846
2006-2007,Utah,0.8362588235294117
2006-2007,Virginia,0.6423462686567164
2006-2007,Vermont,0.7056789473684211
2006-2007,Washington,0.760274
2006-2007,Wisconsin,0.7748857142857143
2006-2007,West Virginia,0.7735096774193548
2006-2007,Wyoming,0.9767
2007-2008,Alaska,0.81436
